SiteReference,Site_name,Description,Town,Magisterial_district,NHRA status,Latitude,Longitude
9/2/060/0033,"Goedgedacht, Ptn 1 of Farm 1064, Malmesbury District",,Malmesbury,Malmesbury,,,
9/2/060/0032,"Loedolf Stree Precint, Malmesbury",,Malmesbury,Malmesbury,,,
9/2/060/0031,"Rondeberg Farm, Malmesbury District",,Malmesbury,Malmesbury,,-33.418688, 18.299575
9/2/060/0030,"PHILADELPHIA LOCAL AREA, GENERAL",,Malmesbury,Malmesbury,,,
9/2/060/0028,"MALMESBURY MAGISTERIAL DISTRICT, GENERAL",,Malmesbury,Malmesbury,,,
9/2/060/0027,"Klipheuwel Pinkster Tabernakel, San Remo Road, Klipheuwel, Malmesbury",,Malmesbury,Malmesbury,,,
9/2/060/0026,"Springfontein, Malmesbury District",,Malmesbury,Malmesbury,,,
9/2/060/0025,"C P Hildebran Grave, Stryderfontin, Malmesbury District",,Malmesbury,Malmesbury,,,
9/2/060/0013,"Duinefontein, Malmesbury District",,Malmesbury,Malmesbury,,,
9/2/060/0012,"Loedolff House, 6 Loedolff Street, Malmesbury",,Malmesbury,Malmesbury,,-33.464044, 18.732100
9/2/060/0011,"Ganzekraal, Malmesbury District",,Malmesbury,Malmesbury,,,
9/2/060/0009,"Old Police Station, Darling, Malmesbury District",,Darling,Malmesbury,,,
9/2/060/0008,"20 Station Road, Darling, Malmesbury District",,Darling,Malmesbury,,-33.379826, 18.379643
9/2/060/0007,"Peppertree House, 17 Station Road, Darling, Malmesbury District",,Darling,Malmesbury,,-33.379782, 18.379610
9/2/060/0006,see 9/2/112/0010,,,Malmesbury,,,
9/2/060/0005,see 9/2/112/0007,,,Malmesbury,,,
9/2/060/0003,"Old Station Building, Arcadia Street, Darling Malmesbury District",,Darling,Malmesbury,,-33.375099, 18.382824
9/2/060/0001,"MALMESBURY MUNICIPAL AREA, GENERAL",,Malmesbury,Malmesbury,,,
9/2/058/0010,"LAINGSBURG MAGISTERIAL DISTRICT, GENERAL",,Laingsburg,Laingsburg,,,
9/2/058/0009,"Lutheran Church Complex, Laingsburg",,Laingsburg,Laingsburg,,,
9/2/058/0008,"Anysberg Nature Reserve, Laingsburg District",,Laingsburg,Laingsburg,National Monument,-33.456983, 20.590875
9/2/058/0006,"LAINGSBURG MUNICIPAL AREA, GENERAL",,Laingsburg,Laingsburg,,,
9/2/058/0005,"Municipal Cemetery, Laingsburg",,Laingsburg,Laingsburg,Pending Declaration,,
9/2/056/0022,"Military Graves, Van Zylsdam Farm, Ladismith District",,Ladismith,Ladismith,,,
9/2/056/0021,ZOAR LOCAL AREA,,Ladismith,Ladismith,,,
9/2/056/0020,LADISMITH MAGISTERIAL GENERAL,,Ladismith,Ladismith,,,
